Nr.;Authors;Title;Year;Journal;doi;Abstract;"Is this a conceptual paper? (e.g., discussion creation of IACS data, use of IACS data, etc.) --> if exclusively yes, other variables may not apply; leave those empty!";year(s) of data use;Combination with other datasets?;Importance of IACS data use;Dataset (likely) used;Research question(s), aim(s): verbatim;Methodological purpose of IACS data: verbatim;Content-related purpose of IACS data: verbatim;Indicator(s) generated?;"Raw information from IACS used: geometrical info (plot shape; size; edges) -- separate multiple entries by "";""";Raw info used: location;Raw info used: time;"Raw info used: thematic, other (crop type; land use type; LSE; organic; AES) -- separate multiple entries by "";""";Spatial unit(s) of analysis;Spatial unit(s) of analysis: details, comments;Discussion of IACS dataset: verbatim;comment;
113;['Legras, Sophie', 'Martin, Elsa', 'Piguet, Virginie'];Conjunctive Implementation of Land Sparing and Land Sharing for Environmental Preservation;2018;Ecological Economics;https://doi.org/10.1016/j.ecolecon.2017.07.006;In this paper, we investigate the concept of land sharing and land sparing management options for environmental preservation. We propose a general framework for the analysis of the conjunctive implementation of both land management options. This general framework provides an empirical rule of selection that can easily be implemented by a land-planner without specific knowledge of optimization procedures. Our main finding is that both the environmental benefit to cost ratio and the benefit difference (between a sharing and a sparing management option) to cost difference ratio matter for selection of parcels. We then develop an empirical application of this framework for the Seine-Ource river catchment in Burgundy, France. We look for the best land management option to implement for water quality preservation. We show that it is more cost-effective to implement land sharing and land sparing management options conjunctively than separately.;no;"2006; 2007; 2008; 2009";yes;major;"GSAA (agricultural parcel; plot)";"In this paper, we raise the question of the optimal selection proce-
dure when more than one option can be applied by a unique agency or land-planner to achieve a given environmental outcome, and that these options have different costs and benefits.""apply our theoretical analysis to the case of site selection to manage water quality in the Seine-Ource water catchment in Burgundy, France, by examining a sample of 4315 candidate parcels.""";"""elect the parcels that have been registered as growing our typical crops of interest over the period from 2006 to 2009""; we have data on parcel land-use from the RPG, to capture the dynamic
crop rotation pattern";"""specify the sample of parcels to which the land sharing or sparing options can be applied"" analysis of the conjunctive implementation of land sparing and land sparing management options";no;NA;yes;yes;crop type;plot/block;;NA;;
84;['Nowak, Benjamin', 'Marliac, Gaëlle', 'Michaud, Audrey'];Estimation of winter soil cover by vegetation before spring-sown crops for mainland France using multispectral satellite imagery;2021;Environmental Research Letters;http://dx.doi.org/10.1088/1748-9326/ac007c;Winter soil cover by vegetation is associated with multiple benefits. In this study, winter soil cover rate before spring-sown crops was estimated for mainland France from multispectral imagery. For 67% and 84% of the area under spring-sown crops for years 2018 and 2019, soil cover during the previous winter was estimated through the computation of the Normalized Difference Vegetation Index (NDVI), using Sentinel-2 multispectral images. At country scale, winter soil cover rate before spring-sown crops was estimated between 37% and 48% for 2018 and between 31% and 43% for 2019, depending on the NDVI threshold for a soil to be considered covered by at least 50% of vegetation. Spatial patterns were relatively similar between the two years studied, highlighting strong heterogeneities between French departments. Cropping systems may explain some of these heterogeneities, as it has been shown that there is a large variability in the soil cover rate between spring-sown crops, but also depending on the previous crop. Winter soil cover rate was higher for crops associated with livestock production, such as maize silage (between 59% and 74% of plots covered before this crop). It was also shown that winter soil cover could be ensured by other means than cover crops: temporary grasslands were the previous crop with the highest soil cover, probably due to late ploughing. For these reasons, mixed systems combining livestock and crop productions may be a solution to increase winter soil cover before spring-sown crops.;no;"2017; 2018; 2019";yes;major;"GSAA (agricultural parcel; plot)";"""objective of this study is to provide an estimate of winter soil cover in a large territory (France) prior to the establishment of a spring-sown crop""";"""Two years of cultivation have been taken into account for the study: 2018 and 2019 harvests. For these two years, plots with spring-sown crops were selected from the plot register (figure 1). In addition, the previous crops for the year 2018 and 2019 were defined with the 2017 and 2018 register, respectively. A 20 m negative buffer was applied to the borders of each plot to avoid edge effects due to sensor resolution or ground geolocation uncertainty.""";"""study focuses on all plots with spring-sown crops in France, declared within the context of the European Common Agricultural Policy."" provide an estimate of winter soil cover";no;plot shape;yes;yes;crop type;plot/block;;NA;;
264;['Mitter, Hermine', 'Schmid, Erwin'];Informing groundwater policies in semi-arid agricultural production regions under stochastic climate scenario impacts;2021;Ecological Economics;https://doi.org/10.1016/j.ecolecon.2020.106908;Region-specific groundwater policies are required to regulate groundwater extraction for agricultural irrigation and reduce climate change adaption externalities. We examine the semi-arid Seewinkel region in Austria and explore interactions between climatic, agronomic, hydrological, and socio-economic conditions and processes to provide policy advice. The assessment is conducted with a spatially explicit integrated modeling framework to analyze impacts on land and irrigation water use, land management, and net benefits of agricultural production. The model results show that with imposed groundwater restrictions for irrigation, land use shifts from irrigated vineyards to mostly rainfed cropland with declining regional net benefits of agricultural production. The direction of change is similar for a DRY, SIMILAR, and WET climate scenario, while the magnitude differs. We estimate that an increase of the marginal value of groundwater extraction for irrigation by 0.1 €/m3 results in an average decrease in groundwater extraction volumes by 17.2 Mm3 in DRY, 6.3 Mm3 in SIMILAR, and 6.4 Mm3 in WET. Furthermore, regional net benefits of agricultural production decrease by 3.4 M€ in DRY and SIMILAR, and by 1.6 M€ in WET, on average. Our assessment highlights that efficient groundwater policies can help to sustain groundwater availability in semi-arid regions, particularly under climate change.;no;NA;yes;major;unclear;We aim to model interdependencies between climatic, agronomic, hydrological, and socio-economic conditions and processes, and to provide scientifically sound information for policy and decision making. Hence, we develop a spatially explicit, integrated modeling framework to model interactions in the soil-water-plant-atmosphere system and to identify efficient land and water use strategies under stochastic climate scenarios and groundwater policies. ;"""calibrate the model [CropRota] to reported land use data from the past""";"""maximizing the total value of agronomic suitability over all crop rotations at municipality level, subject to reported crop shares and crop rotation restrictions.""";no;;yes;no;crop type;grid cell;500 x 500 m;NA;Data used within the CropRota model;
218;['Marais Sicre, C', 'Fieuzal, R', 'Baup, F'];Contribution of multispectral (optical and radar) satellite images to the classification of agricultural surfaces;2020;International Journal of Applied Earth Observation and Geoinformation;https://doi.org/10.1016/j.jag.2019.101972;The monitoring of different crops (cultivated plots) and types of surface (bare soils, etc.) is a crucial economic and environmental issue for the management of resources and human activity. In this context, the objective of this study is to evaluate the contribution of multispectral satellite imagery (optical and radar) to land use and land cover classification. Object-oriented supervised classifications, based on a Random Forest algorithm, and majority zoning post-processing are used. This study emerges from the experiment on multi-sensor crop monitoring (MCM'10, Baup et al., 2012) conducted in 2010 on a mixed farming area in the southwest of France, near Toulouse. This experiment enabled the regular and quasi-synchronous collection of multi-sensor satellite data and in situ observations, which are used in this study. 211 plots with contrasting characteristics (different slopes, soil types, aspects, farming practices, shapes and surface areas) were monitored to represent the variability of the study area. They can be grouped into four classes of land cover: 39 grassland areas, 100 plots of wheat, 13 plots of barley, 20 plots of rapeseed, and 2 classes of bare soil: 23 plots of small roughness and 16 plots of medium roughness. Satellite radar images in the X-, C- and L-bands (HH polarization) were acquired between 14 and 18 April 2010. Optical images delivered by Formosat-2 and corresponding field data were acquired on 14 April 2010. The results show that combining images acquired in the L-band (Alos) and the optical range (Formosat-2) improves the classification performance (overall accuracy?=?0.85, kappa?=?0.81) compared to the use of radar or optical data alone. The results obtained for the various types of land cover show performance levels and confusions related to the phenological stage of the species studied, with the geometry of the cover, the roughness states of the surfaces, etc. Performance is also related to the wavelength and penetration depth of the signal providing the images. Thus, the results show that the quality of the classification often increases with increasing wavelength of the images used.;no;2010;yes;minor;"GSAA (agricultural parcel; plot)";"the objective of this study is to evaluate the contribution of multispectral satellite imagery (optical and radar) to land use and land cover classification. classification of 6 types of land cover: wheat, barley, rapeseed and grassland; smooth surfaces, and surfaces of medium roughness. ";"""used as a mask in the pre-processing phase of the present work, in order to restrict the study to cultivated areas only (crops and grasslands).""";None, only used in data processing / find cultivated land;no;;yes;no;land use type;plot/block;;NA;;
130;['Kloucek, Tomas', 'Moravec, David', 'Komarek, Jan', 'Lagner, Ondrej', 'Stych, Premysl'];Selecting appropriate variables for detecting grassland to cropland changes using high resolution satellite data;2018;PEERJ;10.7717/peerj.5487;Grassland is one of the most represented, while at the same time, ecologically endangered, land cover categories in the European Union. In view of the global climate change, detecting its change is growing in importance from both an environmental and a socio-economic point of view. A well-recognised tool for Land Use and Land Cover (LULC) Change Detection (CD), including grassland changes, is Remote Sensing (RS). An important aspect affecting the accuracy of change detection is finding the optimal indicators of LULC changes (i.e., variables). Inappropriately selected variables can produce inaccurate results burdened with a number of uncertainties. The aim of our study is to find the most suitable variables for the detection of grassland to cropland change, based on a pair of high resolution images acquired by the Landsat 8 satellite and from the vector database Land Parcel Identification System (LPIS). In total, 59 variables were used to create models using Generalised Linear Models (GLM), the quality of which was verified through multi-temporal object-based change detection. Satisfactory accuracy for the detection of grassland to cropland change was achieved using all of the statistically identified models. However, a three-variable model can be recommended for practical use, namely by combining the Normalised Difference Vegetation Index (NDVI), Wetness and Fifth components of Tasselled Cap. Increasing number of variables did not significantly improve the accuracy of detection, but rather complicated the interpretation of the results and was less accurate than detection based on the original Landsat 8 images. The results obtained using these three variables are applicable in landscape management, agriculture, subsidy policy, or in updating existing LULC databases. Further research implementing these variables in combination with spatial data obtained by other RS techniques is needed. PU  - PEERJ INC PI  - LONDON PA  - 341-345 OLD ST, THIRD FLR, LONDON, EC1V 9LL, ENGLAND;no;"2013; 2016";yes;major;"GSAA (agricultural parcel; plot)";"""The aim of our study is to find the optimal variable(s) for grassland to cropland detection""";"""both plots with grassland to cropland change and those on which the grassland remained were extracted. Plots detected as croplands in both time points (information acquired from LPIS also) were removed from the calculation.""";"""source of reference data on the use of the agricultural land""";no;"plot shape; size";yes;yes;land use type;plot/block;"""To minimise the mixed pixel effect, only plots larger than 1 hectare with a non-elongated shape were selected. A non-elongated shape was defined as the proportion between the shape area (ha) and the shape length (m), which had to be greater than 0.045.""";"""Another uncertainty is a possible error in the LPIS reference database as the land use data is entered directly by the farmers themselves. Also, the information in the LPIS differs slightly from the date of acquisition of the satellite imagery, as it refers to the end of the particular year.""";;
134;['Mitter, Hermine', 'Schmid, Erwin'];Computing the economic value of climate information for water stress management exemplified by crop production in Austria;2019;Agricultural Water Management;https://doi.org/10.1016/j.agwat.2019.04.005;Climate information appears to be underutilized in water stress management in agriculture. A systematic analysis of potential impacts related to multi-seasonal dry spells, effective adaptation measures, and the economic value of climate information (VoI) may inform decision-making and facilitate the uptake and use of climate information. Hence, we have developed an integrated modeling framework consisting of a statistical climate model, a crop rotation model, a bio-physical process model, a portfolio optimization model, the computation of the economic value of climate information, and a spatial hot spot analysis and applied it to the context of water stress management in crop production in Austria. Results from the integrated modeling framework show that the average economic value of climate information ranges between 13 and 99 €/ha for Austrian cropland, depending on the scenario of multi-seasonal dry spells and the farmers’ risk aversion level. On average, the value of climate information is highest on flat and productive soils, for root and oil crops, under more extreme multi-seasonal dry spells, and if farmers are highly risk averse. Quantifying the value of climate information may guide data provision efforts and highlight agricultural production regions, which would particularly benefit from such information to improve water stress management.;no;NA;yes;major;unclear;investigate impacts of multi-seasonal dry spells on crop yields, crop gross margins, and irrigation water use, (ii) identify optimal crop production portfolios for adaptation, (iii) quantify the VoI, and (iv) assess the effect of farmers’ risk aversion levels. The major aim is to provide a methodological approach – an integrated modelling framework – for quantifying the Economic value of climate information for water stress management (VoI);"parametrize the CropRota model; Input
data to CropRota comprise of historically observed crop mixes extracted
from the IACS ";"""historically observed crop mixes extracted from the IACS "" ""maximizes the total value of agronomic suitability over all crop rotations at municipality level in order to generate typical crop rotations and relative shares""";no;;yes;no;crop type;grid cell;1x1 km;NA;Data used within the CropRota model;
33;['Forejt, Michal', 'Syrbe, Ralf-Uwe'];The current status of orchard meadows in Central Europe: Multi-source area estimation in Saxony (Germany) and the Czech Republic;2019;Moravian Geographical Reports;http://dx.doi.org/10.2478/mgr-2019-0017;Orchard meadows are appreciated as an integrated land use of high cultural and biological value. While such meadows are typical habitats for temperate Europe, they experienced a decline in their total area during the second half of the 20th century, both in Western and Eastern Europe. In this contribution, we compare their current area and status in terms of semantics, law, public support in general, and the efficiency of public support in both Saxony and the Czech Republic. We estimated the area in Saxony on the basis of three public mapping projects. In the Czech Republic, where no recent mapping included orchard meadows as a specific land-use type, we carried out our own mapping. Hence, we mapped 124 randomly selected plots of 1 km2. To cross-reference results from both countries, we used the pan-EU project LUCAS (Land Use/Cover Area frame Survey). According to various different sources, the orchard meadows cover 0.09–0.55% of Saxony and 0.01–0.72% of the Czech Republic. Interestingly, the results of the three mapping projects conducted in Saxony vary from each other. Although orchard meadows are supported by financial incentives of the respective governments in both countries, the Saxon approach concentrating more on individual activities (sanitation of old trees, planting, grassland management), seems more focused than the single measure practised in the Czech Republic. One key to a greater public awareness of the orchard meadow problematic can lie in the promotion of a simple expression referring to this specific landscape feature in Czech, similar to the phrase common in the German language: ‘Streuobstwiese’. Our suggestion for the Czech language is: ‘lu?ní sad’.;no;2018;yes;major;"GSAA (agricultural parcel; plot)";"we compare their (Orchard meadows) current  area  and  status  in  terms  of  semantics,  law,  public  support  in  general,  and  the  efficiency  of  public support in both Saxony and the Czech Republic.""increase the precision of the estimated area of orchard meadows and their spatial distribution in the Czech Republic""";"""We took the field blocks with land use registered as ‘landscaping orchard’ as patches with a certain occurrence of orchard meadows.""";"""knowledge is needed about the precision of geo-data for this ecosystem type, about the available data to measure them and about their validity.""";no;size;yes;no;crop type;grid cell;likely not a regular grid;"""In particular, data sources about orchard meadow coverage can differ. One estimation method differs from the other by almost 500% in Saxony (ATKIS – LUCAS) and by 7,200% in the Czech Republic (LPIS – LUCAS). The main problem with extracting orchard meadows from thematic maps or statistical data sets lies in the fact that they are a transitional landscape type, without consistent recognition""";;
99;['Herbertsson, Lina', 'Jönsson, Annelie M', 'Andersson, Georg K S', 'Seibel, Kathrin', 'Rundlöf, Maj', 'Ekroos, Johan', 'Stjernman, Martin', 'Olsson, Ola', 'Smith, Henrik G'];The impact of sown flower strips on plant reproductive success in Southern Sweden varies with landscape context;2018;Agriculture, Ecosystems & Environment;https://doi.org/10.1016/j.agee.2018.03.006;In agricultural landscapes, sown flower strips can benefit pollinators and pollination of nearby plants, but their impact on pollination in the wider landscape is poorly studied. We evaluated effects on reproductive success of field bean (Vicia faba) and woodland strawberry (Fragaria vesca) using data from two study systems, both including study sites (1?km radius) with (flower strip sites) or without flower strips (control sites). To assess whether flower strips enhance pollination in the wider landscape, we compared the reproductive success between plants growing in field borders (>?160?m to nearest flower strip) at flower strips sites and control sites. We also tested if flower strips reallocate pollination functions in the landscape. We did this by comparing the reproductive success of plants at flower strip sites, growing adjacent to the flower strips with plants growing in a more distant field border at the same site (>?160?m). Finally, we tested if these potential effects depended on the heterogeneity of the landscape. In field borders without an adjacent flower strip, plant reproductive success was unaffected by the presence of a flower strip at the site, and increased with increasing landscape heterogeneity independently of site type (flower strip vs. control). In contrast, adjacent to the flower strips, reproductive success declined with increasing landscape heterogeneity, resulting in a positive net effect of adjacent flower strips in homogeneous landscapes and a negative effect in heterogeneous landscapes. Our results show that while decreasing landscape heterogeneity may impair pollination in homogeneous landscapes, this can be locally mitigated by sowing flower strips. However, in heterogeneous landscapes, flower strips may instead reduce pollination of adjacent plants.;no;NA;yes;major;"GSAA (agricultural parcel; plot)";"""In this paper, we tested how flower strips affected the reproductive success of two insect-pollinated plant species over a gradient of landscape heterogeneity.""";"""To define landscape heterogeneity we used the areas covered by two classes of semi-natural habitat: traditionally managed, permanent pastures and uncultivated field borders, the latter calculated as the perimeter of all land parcels with permanent field borders multiplied by an average width of 1.2 m""";"""we selected study sites along a gradient of landscape heterogeneity (1 km radius)""";yes;"plot shape; edges";yes;no;land use type;landscape;"""1 km landscape circle""";NA;;
35;['Tlapáková, Lenka'];Development of drainage system in the Czech landscape - identification and functionality assessment by means of remote sensing;2017;European Countryside;http://dx.doi.org/10.1515/euco-2017-0005;Subsurface drainage systems are very important type of meliorative measures in the Czech Republic. Nevertheless, their functions are perceived differently in the Czech society. We can distinguish point of view of landowner, farmer, water manager or environmentalist. With regard to the climatic changes or new praxis of agricultural, there must be assessed changed conditions in relation to existing drainage systems. It has connection with the next strategy of their funding and management. Therein, in the Czech Republic, farmer has dominating position, instead of the state or landowner that would be probably more correct.  The paper presents results of user demands survey, conditions of drainage systems, their services and defects. New technologies, mainly remote sensing, and their use for identification and survey of drainage systems are presented too. Land drainage measures changed the whole landscape in the Czech Republic (agricultural intensification, loss of natural habitats and natural water flows etc.). In context of hydrological extremes? rising and drainage systems? ageing, existence of drainage systems must be solved. It means their maintainance for purpose of agricultural production, or, on the contrary, their elimination with the view of nature habitats? recovery. Both solutions must differ in accordance with the different landscape characteristics of the Czech Republic.;no;NA;yes;major;unclear;the  conditions  of  the  existing  drainage  systems  must  be reassessed, particularly in relation to future strategy for funding and management;"""should provide more details on the existence of drainage systems and their functionality""";Provide basis information whether drainage systems are installed at the land parcel;no;plot shape;yes;no;;plot/block;;"""The basic information “whether the land parcel is drained” can currently be obtained from the LPIS portal. However  this information is full of errors. Here  it is necessary to first correct the records  at least in the form of supplementing data on older drainage systems  so that this layer corresponds to the final version published by the Agricultural Water Management Administration in 2008 (which can be downloaded without restriction from the website of the Ministry of Agriculture3).""";;
11;['Birkhofer, Klaus', 'Andersson, Georg K S', 'Bengtsson, Janne', 'Bommarco, Riccardo', 'Dänhardt, Juliana', 'Ekbom, Barbara', 'Ekroos, Johan', 'Hahn, Thomas', 'Hedlund, Katarina', 'Jönsson, Annelie M', 'Lindborg, Regina', 'Olsson, Ola', 'Rader, Romina', 'Rusch, Adrien', 'Stjernman, Martin', 'Williams, Alwyn', 'Smith, Henrik G'];Relationships between multiple biodiversity components and ecosystem services along a landscape complexity gradient;2018;Biological Conservation;https://doi.org/10.1016/j.biocon.2017.12.027;The assessment of effects of anthropogenic disturbance on biodiversity (BD) and ecosystem services (ES) and their relationships are key priorities of the Intergovernmental Panel for Biodiversity and Ecosystem Services. Agricultural landscapes and their associated BD provide multiple ES and it is crucial to understand how relationships between ES and BD components change along gradients of landscape complexity. In this study, we related eight ES potentials to the species richness of five invertebrate, vertebrate and plant taxonomic groups in cereal farming systems. The landscape complexity gradient ranged from areas dominated by annually tilled arable land to areas with high proportions of unfertilized, non-rotational pastures and uncultivated field borders. We show that after accounting for landscape complexity relationships between yield and bird richness or biological control became more positive, but relationships between bird richness and biological control became less positive. The relationship between bird and plant richness turned from positive to negative. Multidiversity (overall biodiversity), was positively related to landscape complexity, whereas multifunctionality (overall ES provision), was not significantly related to either one of these. Our results suggest that multidiversity can be promoted by increasing landscape complexity;no;NA;yes;major;"GSAA (agricultural parcel; plot)";"""To address the role of landscape complexity, we first compared pairwise relationships between all ecosystem services potentials and biodiversity components before and after accounting for the landscape complexity gradient.""";"""composite variable""; ""to extract land use in the landscapes"", derive indicator and select landscapes (study sites)";Determine landscape complexity;yes;size, plot shape;yes;no;land use type, crop type;landscape;"""within 1 km radius landscapes centred around 33 conventional cereal farms""";NA;;
