,authors,title,year,Journal,doi/url,abstract,keywords,inclusion: IACS,inclusion: plot-level data,country,is the paper in english,exclusion yes/no,exclusion: reason,responsible
66,"['Fortems-Cheiney, Audrey', 'Dufour, Gaëlle', 'Dufossé, Karine', 'Couvidat, Florian', 'Gilliot, Jean-Marc', 'Siour, Guillaume', 'Beekmann, Matthias', 'Foret, Gilles', 'Meleux, Frederik', 'Clarisse, Lieven', 'Coheur, Pierre-François', 'Van\xa0Damme, Martin', 'Clerbaux, Cathy', 'Génermont, Sophie']",Do alternative inventories converge on the spatiotemporal representation of spring ammonia emissions in France?,2020,Atmospheric Chemistry and Physics,http://dx.doi.org/10.5194/acp-20-13481-2020,"Agriculture is the main source of ammonia (NH3) in France, an important gaseous precursor of atmospheric particulate matter (PM). National and global emission inventories are known to have difficulty representing the large spatial and temporal variability inherent to atmospheric NH3. In this study, we compare NH3 emissions in France during spring 2011 from one reference inventory, the TNO inventory, and two alternative inventories that account in different manners for both the spatial and temporal variabilities of the emissions: (i) the NH3SAT satellite-derived inventory based on IASI NH3 columns and (ii) the CADASTRE-CIT inventory that combinesNH3 emissions due to nitrogen fertilization calculated with the mechanistic model VOLT'AIR on the database of the CADASTRE_NH3 framework and other source emissions from the CITEPA. The total spring budgets, from March to May 2011, at the national level are higher when calculated with both alternative inventories than with the reference, the difference being more marked with CADASTRE-CIT. NH3SAT and CADASTRE-CIT inventories both yield to large NH3 spring emissions due to fertilization on soils with high pH in the northeastern part of France (65 and 135 ktNH3, respectively, vs. 48 ktNH3 for TNO-GEN), while soil properties are not accounted for by the TNO-GEN methodology. For the other parts of France, the differences are smaller. The timing of fertilization and associated ammonia emissions is closely related to the nitrogen requirements and hence the phenological stage of the crops, and therefore to the crop year's specific weather conditions. Maximum emissions are observed in March for 2011 for some regions for both alternative inventories, while April is the period with maximum emissions for the reference inventory regardless of the region or the year. Comparing the inventories at finer temporal resolutions, typically at daily scale, large differences are found. The convergence of alternative, independent and complementary methods on the spatiotemporal representation of the spring NH3 emissions, particularly over areas where the contribution of mineral fertilizer spreading to the spring budget is strong, encourages further developments in both prospective complementary directions, as this will help improve national NH3 emission inventories.","['Agricultural management', 'Agriculture', 'Air pollution', 'Ammonia', 'Ammonia emissions', 'Atmospheric particulate matter', 'Atmospheric particulates', 'Biological fertilization', 'Budgets', 'Convergence', 'Emission', 'Emission inventories', 'Emissions', 'Fertilization', 'Fertilizers', 'France', 'Livestock', 'Meteorology', 'Nitrogen', 'Particulate emissions', 'Particulate matter', 'Representations', 'Sediment properties', 'Soil fertility', 'Soil properties', 'Spring', 'Suspended particulate matter', 'Temporal variability', 'Temporal variations', 'Weather', 'Weather conditions']",yes,yes,FR,Yes,no,,Heidi
119,"['Nitsch, Heike', 'Osterburg, Bernhard', 'Roggendorf, Wolfgang', 'Laggner, Birgit']",Cross compliance and the protection of grassland - Illustrative analyses of land use transitions between permanent grassland and arable land in German regions,2012,LAND USE POLICY,10.1016/j.landusepol.2011.09.001,"Permanent grassland combines various ecological functions in terms of nature, soil, water and climate protection. Conversion of grassland to arable land is accompanied by a diminution of these functions. Various developments have led to increased pressure on the EU grassland area. With cross compliance, the EU sets minimum standards for the protection of the ratio of permanent grassland. However, this requirement alone does not ensure the preservation of grassland on sensitive sites, such as water or nature conservation areas or land on organic soils or on steep hills.This paper deals with land use changes between grassland and arable land. For this purpose we analyse data of the EU's Integrated Administration and Control System (IACS) from four German federal states. The described methodology allows to identify gross changes of land use and to distinguish between conversion of permanent grassland and ""loss"" due to ""deactivation"" at a highly disaggregated level. Merging IACS-data with further spatially explicit data provides a picture of land use transitions in ecologically sensitive areas and enables conclusions to be drawn about the effectiveness of protection measures. (C) 2011 Elsevier Ltd. All rights reserved. PU  - ELSEVIER SCI LTD PI  - OXFORD PA  - THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",NA,yes,yes,DE,yes,no,,Henning
122,"['Martin, P', 'Martin  Céline ; Laroutis, Dimirti ; Souchere, Veronique ; Sebillotte, Clementina, Philippe ; Ronfort', 'Martin, P', 'Martin  Céline ; Laroutis, Dimirti ; Souchere, Veronique ; Sebillotte, Clementina, Philippe ; Ronfort']","Cost of best management practices to combat agricultural runoff and comparison with the local populationsÆ’?? willingness to pay: Case of the Austreberthe watershed (Normandy, France)",2014,Land Use Policy,http://agris.fao.org/?query=ARN:LV2016008721,"Land Use and Cover Changes (LUCCs) significantly increase the frequency of mudflows in the silty areas of north-western Europe and particularly in the NUTS 3 Seine-Maritime region (France). Predicting the effects of a range of possible LUCCs helps local authorities choose policies that can help to mitigate the risks to which local populations are exposed. In this article we build scenarios for changes in farming systems, with a 2015 horizon and with 2007 as the initial situation. These scenarios are assessed through combined biophysical and economic approaches. Two scenarios for the disappearance of dairy farming are chosen. One scenario has no public-action program (StopMilk), while the other one has a program based on the funding of best management practices (StopMilk-E). These scenarios are assessed at the small watershed scale (7km2) in terms of both changes in farming systems and effects on runoff (use of the STREAM model). Finally, the economic evaluation of additional costs of StopMilk-E is extrapolated at the level of the Austreberthe watershed syndicate (214km2), using the French Land Parcel Identification System (LPIS) with a spatially referenced database of cropping plans. StopMilk leads to a significant increase in runoff whereas the local public-action program proposed under StopMilk-E reduces runoff to below the 2007 level. The Austreberthe watershed residentsâ willingness to pay for a 15-year program is around â395,000/year, which is not sufficient to balance the cost of the modified farming practices (â640,000/year over the first 3 years). Funding of the practices would require either subsidies from a higher level (Europe), borrowing by the community, and/or a more selective approach in the type and the location of farming practices to be funded. The method used for calculating costs at the watershed syndicate level shows the huge potential of new databases like LPIS (available in France since 2006) for the assessment of environmental issues.","['France', 'agricultural runoff', 'at-risk population', 'best ma', 'best management practices', 'dairy farming', 'databases', 'economic analysis', 'environmental assessment', 'farming systems', 'funding', 'issues and policy', 'land use', 'models', 'prediction', 'risk', 'streams', 'subsidies', 'watersheds', 'willingness to pay']",yes,yes,FR,yes,no,,Henning
143,"['Vaudour, Emmanuelle', 'Gomez, Cécile', 'Lagacherie, Philippe', 'Loiseau, Thomas', 'Baghdadi, Nicolas', 'Urbina-Salazar, Diego', 'Loubet, Benjamin', 'Arrouays, Dominique']",Temporal mosaicking approaches of Sentinel-2 images for extending topsoil organic carbon content mapping in croplands,2021,International Journal of Applied Earth Observation and Geoinformation,https://doi.org/10.1016/j.jag.2020.102277,"The spatial assessment of soil organic carbon (SOC) is a major environmental challenge, notably for evaluating soil carbon stocks. Recent works have shown the capability of Sentinel-2 to predict SOC content over temperate agroecosystems characterized with annual crops. However, because spectral models are only applicable on bare soils, the mapping of SOC is often obtained on limited areas. A possible improvement for increasing the number of pixels on which SOC can be retrieved by inverting bare soil reflectance spectra, consists of using optical images acquired at several dates. This study compares different approaches of Sentinel–2 images temporal mosaicking to produce a composite multi-date bare soil image for predicting SOC content over agricultural topsoils. A first approach for temporal mosaicking was based on a per-pixel selection and was driven by soil surface characteristics: bare soil or dry bare soil with/without removing dry vegetation. A second approach for creating composite images was based on a per-date selection and driven either by the models performance from single-date, or by average soil surface indicators of bare soil or dry bare soil. To characterize soil surface, Sentinel-1 (S1)-derived soil moisture and/or spectral indices such as normalized difference vegetation index (NDVI), Normalized Burn Ratio 2 (NBR2), bare soil index (BSI) and a soil surface moisture index (S2WI) were used either separately or in combination. This study highlighted the following results: i) none of the temporal mosaic images improved model performance for SOC prediction compared to the best single-date image; ii) of the per-pixel approaches, temporal mosaics driven by the S1-derived moisture content, and to a lesser extent, by NBR2 index, outperformed the mosaic driven by the BSI index but they did not increase the bare soil area predicted; iii) of the per-date approaches, the best trade-off between predicted area and model performance was achieved from the temporal mosaic driven by the S1-derived moisture content (R2 ~ 0.5, RPD ~ 1.4, RMSE ~ 3.7 g.kg-1) which enabled to more than double (*2.44) the predicted area. This study suggests that a number of bare soil mosaics based on several indicators (moisture, bare soil, roughness…), preferably in combination, might maintain acceptable accuracies for SOC prediction whilst extending over larger areas than single-date images.","['Croplands', 'Sentinel-2', 'Soil moisture', 'Soil organic carbon', 'Temporal mosaic']",yes,yes,FR,yes,no,,Henning
160,"['Weiss, Franz']",Factors determining whether farmers give up/continue working in agricultural enterprises in Austria,2008,BERICHTE UBER LANDWIRTSCHAFT,,"In the paper I tried to quantify the impact of farm-specific factors on the probability of Austrian farmers stopping or continuing farming in the period between 1995 and 1999. As a data base I used the single farm data of the farm censuses 1990, 1995 and 1999, partly complemented by the INVEKOS data pool and other data sources such as regional unemployment and income statistics. For the estimation I used a multivariate logistic regression model. First, it was possible to show that the probability of giving up farming declined particularly with participation in the Austrian environmental program OPUL, the total farm income and the size of direct payments (OPUL and program for mountain farmers). Furthermore, small and medium forest areas seem to improve the chance for farm survival, whereas farms with large forest areas are given up more frequently. In addition to economic factors, family conditions and personal properties of farm holders play an important role. For example, farm holders without children have a lower probability of surviving than farm holders with children, female farm holders give up more easily than male ones, and elder farm holders, as expected, more easily than young ones. Finally, I tested several regional factors, showing that the proximity to cities was particularly influential in increasing the chance of remaining in the sector. PU  - W KOHLHAMMER GMBH, I A JOCHEN KRAUSS PI  - STUTTGART PA  - AMTGERICHT  STUTTGART HRB 1733HRB, STUTTGART, 00000, GERMANY",NA,yes,?,AT,no,yes,language,Henning
161,"['David, V', 'Sturza, M', 'Bala, A C']",CREATION OF GEODATABASE ON THE IMPLEMENTATION IACS-LPIS IN ROMANIA,2012,JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,,"The land parcel identification system (LPIS) is an essential element of the Integrated administrative and control system (IACS) which was developed in the EU Member States and is the key instrument for the location and control of parcels declared by farmers. The implementation of good agricultural and environmental conditions (GAEC) standards related to permanent pasture overlaps with the standard management requirements, national legislation and current agri-environmental programmes. The LPIS system, initially based on the parcels limits identification by the producers using orthophotos, was gaining complexity in consequence of total or partial integration of new levels information (environmental areas, slopes, etc.). PU  - SCIBULCOM LTD PI  - SOFIA PA  - PO BOX 249, 1113 SOFIA, BULGARIA",NA,yes,yes,other,yes,yes,"country (auf basis des titels, volltext nicht greifbar)",Henning
190,"['Stein, Susanne', 'Steinmann, Horst-Henning', 'Isselstein, Johannes']",Linking Arable Crop Occurrence with Site Conditions by the Use of Highly Resolved Spatial Data,2019,LAND,10.3390/land8040065,"Agricultural land use is influenced in different ways by local factors such as soil conditions, water supply, and socioeconomic structure. We investigated at regional and field scale how strong the relationship of arable crop patterns and specific local site conditions is. At field scale, a logistic regression analysis for the main crops and selected site variables detected, for each of the analyzed crops, its own specific character of crop-site relationship. Some crops have diverging site relations such as maize and wheat, while other crops show similar probabilities under comparable site conditions, e.g., oilseed rape and winter barley. At the regional scale, the spatial comparison of clustered variables and clustered crop pattern showed a slightly stronger relationship of crop combination and specific combinations of site variables compared to the view of the single crop-site relationship. PU  - MDPI PI  - BASEL PA  - ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,yes,yes,DE,yes,no,,Max
201,"['Urbanska, K M', 'Fattorini, M']",Seed bank studies in the Swiss Alps - II. Restoration plots on a high-alpine ski run,1998,BOTANICA HELVETICA,,"Soil seed banks in trial plots, installed on a machine-graded downhill ski run at ca. 2500 m were studied about 10 years after restoration in spring and autumn samples. This is the first report on post-restoration development of the soil seed reserve in a high-alpine site. Unless otherwise specified, the data presented below refer to means+/-standard error values.The density of the germinable fraction of the seed reserve recorded in the autumn samples averaged 916+/-210 seeds per m(2) in the plots RPF; the corresponding value in the plots RPG was lower (611+/-333 seeds per m(2)). After the spring snowmelt in the following year a diminished density (698+/-270 seeds per m(2)) was observed in the plots RPE but in the plots RPG a considerable increase (3580+/-1701 seeds per m(2)) was recorded. The differences between the two plot groups and between sampling seasons were not statistically significant because of the large variance.In the autumn samples, seven species were identified among the retrieved seedlings, and two further species were registered in the small un-germinated fraction. The spring samples included only four identified species within the germinable fraction; no further species were determined among many dormant seeds. The alpha-diversity studies revealed some salient features: (1) the soil seed reserve included mostly immigrant species, and only few species used in the restoration were represented; (2) compared to the standing vegetation, much fewer species occurred in the soil samples: (3) the relative frequency of species in the seed reserve did not correspond to the species frequency in the plant cover of the plots.Considered both in the terms of diaspore accumulation and increase of alpha-diversity, the soil seed reserve developed within only ca 10 years after restoration represents an important symptom of active plant population processes occurring in the restoration plots. PU  - BIRKHAUSER VERLAG AG PI  - BASEL PA  - VIADUKSTRASSE 40-44, PO BOX 133, CH-4010 BASEL, SWITZERLAND",NA,?,?,?,Yes,yes,wrong country,Max
202,"['Metzner, Juergen', 'Jedicke, Eckhard', 'Luick, Rainer', 'Reisinger, Edgar', 'Tischew, Sabine']","Extensive Grazing and Requirements for the new Agricultural Policy - Promotion of biological diversity, climate protection, water balance and landscape aesthetics",2010,Naturschutz und Landschaftsplanung,,"Extensive Grazing and Requirements for the new Agricultural Policy - Promotion of biological diversity, climate protection, water balance and landscape aestheticsThe near-natural pasturing of our cultural landscape stands for a modern, multi-functional agriculture. Many farms with grazing animals have an important share in effectively implementing the European challenges to protect biological diversity, climate and water. The subsequent paper - supported by numerous associations - makes proposals for a better establishment of extensive grazing in the funding guidelines of the Common Agricultural Policy (CAP) of the EU after 2013. Existing instruments are to be advanced in the following areas:On extensively grazed grasslands it should in future be possible to generally activate payment claims of the 1(st) column, and to combine them with aid programmes of the 2(nd) column. In order to reduce the risks of reclaims for the applicants the sites are to be identified by a specific code with an ""integrated administration and control system"", and the implementation of the measures is to be controlled according to nature conservation criteria.In the context of the 2(nd) column the study recommends the expansion of agri-environmental measures - including better co-financing by the EU, additional incentives and contract periods of up to 20 years.Additionally landscape management programmes have to be established on the basis of the Regulation of the EAFRD (Art. 57) - including invested-related measures which are not covered by agri-environmental schemes.The comprehensive counselling of the farms aims to promote a better integration of extensive grazing, ensuring the optimal combination of measures of the 1st and 2nd column.The study recommends the following measures which are particularly eligible: (a) extensive all-year continuous grazing with cattle and horses, (b) conversion of arable fields into extensively grazed grasslands in flood areas and on fen soils, and (c) biotope management with sheep and goats.",NA,Yes,?,?,no,yes,Abstract in english - Paper in German,Max
236,"['Delso, Noa Simón', 'Sušanj, Gregor', 'Abello, Andrés Salazar']",The EU Bee Partnership (EUBP) Prototype Platform: data model description,2021,EFSA Journal,http://dx.doi.org/10.2903/sp.efsa.2021.EN-6694,"The EU Bee Partnership is an initiative that was created in 2017 to bring together stakeholders who have an interest in data sharing on bee health and beekeeping in the EU. The EU Bee Partnership Prototype Platform aims at collecting and exchanging standardised data on pollinator health and other relevant data based on the Bee Hub Proof of concept initially led by BeeLife European Beekeeping Coordination within the framework of the Internet of Bees Project. This new stage of development responds to the main conclusions of the EU Bee Partnership: the need for data standardisation and communication for the benefit of stakeholders and EFSA. The work developed during the prototyping of the platform funded by EFSA has included the design and implementation of data models for the data integrated in the Prototype Platform (https://bee‐ppp.eu). A procedure for data and metadata integration has been created and implemented, including validation of the data quality. The platform was enriched with datasets coming from existing projects and public databases. Additionally, several algorithms for exploring the data and extracting ready‐to‐use information have been proposed in this phase providing examples and avenues for future development. Finally, a reporting feature was added, and some reports were produced, to illustrate the type of information that the analyses of the platform could generate in the future for the benefit of stakeholders, institutions and more sustainable bee health and beekeeping in the EU.","['Algorithms', 'Apiculture', 'Beekeeping', 'Data retrieval', 'Developmental stages', 'Food And Food Industries', 'Partnerships', 'Prototypes', 'Prototyping']",no,no,?,yes,yes,scientific report; only one reference to IACS,Max
