Column1,X,authors,title,year,Journal,doi.url,abstract,keywords,inclusion..IACS,inclusion..plot.level.data,country,is.the.paper.in.english,exclusion.yes.no,exclusion..reason,responsible
1,103,"['Bogaerts, Theo', 'Williamson, Ian P', 'Fendel, Elfriede M']",The role of land administration in the accession of Central European countries to the European Union,2002,Land Use Policy,https://doi.org/10.1016/S0264-8377(01)00041-2,"One of the key requirements of the European Union (EU) for accession of Central European countries (CEC) to the EU is the establishment of free market economies which parallel the economies in Western Europe based on the adoption of the Acquis Communautaire (Acquis) from the EU. Central to this objective is the privatisation of lands and the establishment of efficient land markets. To this end the EU and many other countries and international organisations have committed significant resources to support land administration, and particularly cadastral projects, in Central Europe since 1992. This paper reviews the role that the establishment of land administration systems is playing in the accession of CEC to the EU. Other key requirements for accession to the EU are the adoption of the Common Agricultural Policy, the protection of human rights, environmental sustainability and institution building. The paper also considers the role that land administration plays in supporting these objectives and develops a generic framework for land administration projects in support of accession to the EU. As background the paper uses examples to highlight the historical context of land, the evolution of land administration in Central Europe, the reconstruction of property rights and the justification of land administration projects in the context of AGENDA 2000 for a wider Europe. The paper provides an international context by examining land administration trends globally. The paper concludes by highlighting the challenges facing the establishment of land administration systems in CEC.","['Accession', 'Cadastre', 'Central European countries (CEC)', 'European Union (EU)', 'Land administration', 'Sustainable development']",yes,no,EU,Yes,no,conceptual,Heidi
2,105,"['Delso, Noa Simón', 'Sušanj, Gregor', 'Abello, Andrés Salazar']",The EU Bee Partnership (EUBP) Prototype Platform: data model description,2021,EFSA Journal,http://dx.doi.org/10.2903/sp.efsa.2021.EN-6694,"The EU Bee Partnership is an initiative that was created in 2017 to bring together stakeholders who have an interest in data sharing on bee health and beekeeping in the EU. The EU Bee Partnership Prototype Platform aims at collecting and exchanging standardised data on pollinator health and other relevant data based on the Bee Hub Proof of concept initially led by BeeLife European Beekeeping Coordination within the framework of the Internet of Bees Project. This new stage of development responds to the main conclusions of the EU Bee Partnership: the need for data standardisation and communication for the benefit of stakeholders and EFSA. The work developed during the prototyping of the platform funded by EFSA has included the design and implementation of data models for the data integrated in the Prototype Platform (https://bee-ppp.eu). A procedure for data and metadata integration has been created and implemented, including validation of the data quality. The platform was enriched with datasets coming from existing projects and public databases. Additionally, several algorithms for exploring the data and extracting ready-to-use information have been proposed in this phase providing examples and avenues for future development. Finally, a reporting feature was added, and some reports were produced, to illustrate the type of information that the analyses of the platform could generate in the future for the benefit of stakeholders, institutions and more sustainable bee health and beekeeping in the EU.","['Algorithms', 'Apiculture', 'Beekeeping', 'Data retrieval', 'Developmental stages', 'Food And Food Industries', 'Partnerships', 'Prototypes', 'Prototyping']",no,no,EU,yes,yes,data,Heidi
3,171,"['Inan, Hall Ibrahim', 'Sagris, Valentina', 'Devos, Wim', 'Milenov, Pavel', 'van Oosterom, Peter', 'Zevenbergen, Jaap']",Data model for the collaboration between land administration systems and agricultural land parcel identification systems,2010,JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2010.06.030,"The Common Agricultural Policy (CAP) of the European Union (EU) has dramatically changed after 1992, and from then on the CAP focused on the management of direct income subsidies instead of production-based subsidies. For this focus, Member States (MS) are expected to establish Integrated Administration and Control System (IACS), including a Land Parcel Identification System (LPIS) as the spatial part of IACS. Different MS have chosen different solutions for their LPIS. Currently, some MS based their IACS/LPIS on data from their Land Administration Systems (LAS), and many others use purpose built special systems for their IACS/LPIS. The issue with these different IACS/LPIS is that they do not have standardized structures; rather, each represents a unique design in each MS, both in the case of LAS based or special systems. In this study, we aim at designing a core data model for those IACS/LPIS based on LAS. For this purpose, we make use of the ongoing standardization initiatives for LAS (Land Administration Domain Model: LADM) and IACS/LPIS (LPIS Core Model: LCM). The data model we propose in this study implies the collaboration between LADM and LCM and includes some extensions. Some basic issues with the collaboration model are discussed within this study: registration of farmers, land use rights and farming limitations, geometry/topology, temporal data management etc. For further explanation of the model structure, sample instance level diagrams illustrating some typical situations are also included. (C) 2010 Elsevier Ltd. All rights reserved. PU  - ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD PI  - LONDON PA  - 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",NA,no,no,,yes,no,data (conceptual paper),Henning
4,181,"['Sládková, J']",Integration of soil information systems. BIS and SOTER perspectives,2008,Soil and Water Research,http://dx.doi.org/10.17221/2090-SWR,"The article presents an overview and brief characteristics of the selected soil information systems in the Czech Republic. It suggests synchronisation of their development, particularly some convergence of the Land Evaluation Information System and Soil and Terrain Digital Database. In the pilot area of Litomerice district, it demonstrates the application of the SOTER methodology for the construction of middle- and detail-scale soil maps, using the data from the General survey of agricultural soils. It not only shows the variety of the district soil conditions, but it also supplements them with the data gathered in the 2006 soil survey.","['Agricultural land', 'BIS', 'Information systems', 'SOTER', 'Soil conditions', 'Soil maps', 'Soil surveys', 'Soils', 'Surveys', 'Synchronism', 'Water Resources', 'soil information systems', 'soil maps and survey']",?,?,CZ,yes,no,? It is a review paper about CZ LPIS and IACS,Max
5,182,"['Waldner, François', 'Fritz, Steffen', 'Gregorio, Antonio Di', 'Defourny, Pierre']","Mapping Priorities to Focus Cropland Mapping Activities: Fitness Assessment of Existing Global, Regional and National Cropland Maps",2015,Remote Sensing,http://dx.doi.org/10.3390/rs70607959,"Timely and accurate information on the global cropland extent is critical for applications in the fields of food security, agricultural monitoring, water management, land-use change modeling and Earth system modeling. On the one hand, it gives detailed location information on where to analyze satellite image time series to assess crop condition. On the other hand, it isolates the agriculture component to focus food security monitoring on agriculture and to assess the potential impacts of climate change on agricultural lands. The cropland class is often poorly captured in global land cover products due to its dynamic nature and the large variety of agro-systems. The overall objective was to evaluate the current availability of cropland datasets in order to propose a strategic planning and effort distribution for future cropland mapping activities and, therefore, to maximize their impact. Following a very comprehensive identification and collection of national to global land cover maps, a multi-criteria analysis was designed at the country level to identify the priority areas for cropland mapping. As a result, the analysis highlighted priority regions, such as Western Africa, Ethiopia, Madagascar and Southeast Asia, for the remote sensing community to focus its efforts. A Unified Cropland Layer at 250 m for the year 2014 was produced combining the fittest products. It was assessed using global validation datasets and yields an overall accuracy ranging from 82%-94%. Masking cropland areas with a global forest map reduced the commission errors from 46% down to 26%. Compared to the GLC-Share and the International Institute for Applied Systems Analysis-International Food Policy Research Institute (IIASA-IFPRI) cropland maps, significant spatial disagreements were found, which might be attributed to discrepancies in the cropland definition. This advocates for a shared definition of cropland, as well as global validation datasets relevant for the agriculture class in order to systematically assess existing and future cropland maps.",['Physics'],yes,no,?,yes,yes,data,Max
6,47,"['Neumann, Barbara', 'Lütz, Michael', 'Schüpbach, Beatrice', 'Szerencsits, Erich']",Spatial modelling for the development of agri-environmental programs,2009,Regional Environmental Change,http://dx.doi.org/10.1007/s10113-009-0090-z,"Issue Title: Special issue on Rural Areas: Assessing sustainable options for multi-functional use of rural areas; Guest editors: Riccardo Simoncini, Rudolf De Groot, Teresa Pinto Correia Spatial modelling of environmental indicators has been well established in landscape ecology and in nature conservation on regional and national scales over the recent past. Yet, using spatial information as a basis for the coordination of environmental measures on a trans-national European level reveals several shortcomings and hindrances, ranging from data quality issues and methodological aspects to discussions on how to define ecological indicators across Europe. This paper analyzes the potential of spatial modelling for the development and implementation of agri-environmental measures as part of rural development policies, discussing critical aspects of spatial environmental modelling as well as chances, trends and demands. [PUBLICATION ABSTRACT]","['Agricultural policy', 'Environmental Studies', 'Environmental management', 'Rural development', 'Sustainable development']",?,?,?,yes,no,general discussionpaper,Franziska
7,373,"['Pique, Gaétan', 'Fieuzal, Rémy', 'Debaeke, Philippe', 'Bitar, Ahmad Al', 'Tallec, Tiphaine', 'Ceschia, Eric']",Combining High-Resolution Remote Sensing Products with a Crop Model to Estimate Carbon and Water Budget Components: Application to Sunflower,2020,Remote Sensing,http://dx.doi.org/10.3390/rs12182967,"The global increase in food demand in the context of climate change requires a clear understanding of cropland function and of its impact on biogeochemical cycles. However, although gas exchange between croplands and the atmosphere is measurable in the field, it is difficult to quantify at the plot scale over relatively large areas because of the heterogeneous character of landscapes and differences in crop management. However, assessing accurate carbon and water budgets over croplands is essential to promote sustainable agronomic practices and reduce the water demand and the climatic impacts of croplands while maintaining sufficient yields. From this perspective, we developed a crop model, SAFYE-CO2, that assimilates high spatial- and temporal-resolution (HSTR) remote sensing products to estimate daily crop biomass, water and CO2 fluxes, annual yields, and carbon budgets at the parcel level over large areas. This modeling approach was evaluated for sunflower against two in situ datasets. First, the model’s output was compared to data acquired during two cropping seasons at the Auradé integrated carbon observation system (ICOS) instrumented site in southwestern France. The model accurately simulated the daily net CO2 flux (root mean square error (RMSE) = 0.97 gC·m-2·d-1 and determination coefficient (R2) = 0.83) and water flux (RMSE = 0.68 mm·d-1 and R2 = 0.79). The model’s performance was then evaluated against biomass and yield data collected from 80 plots located in southwestern France. The model was able to satisfactorily estimate biomass dynamics and yield (RMSE = 66 and 54 g·m-2, respectively). To investigate the potential application of the proposed approach at a large scale, given that soil properties are important factors affecting the model, a sensitivity analysis of two existing soil products (GlobalSoilMap and SoilGrids) was carried out. Our results show that these products are not sufficiently accurate for inclusion as inputs to the model, which requires more accurate information on soil water retention capacity to assess water fluxes. Additionally, we argue that no water stress should be considered in the crop growth computation since this stress is already present because of remote sensing information in the proposed approach. This study should be considered a first step to fulfill the existing gap in quantifying carbon budgets at the plot scale over large areas and to accurately estimate the effects of management practices, such as the use of cover crops or specific crop rotations on cropland C and water budgets.","['Agricultural land', 'Agricultural practices', 'Agricultural production', 'Agronomy', 'Atmospheric models', 'Biogeochemical cycles', 'Biomass', 'Carbon', 'Carbon dioxide', 'Climate change', 'Computer simulation', 'Corn', 'Cover crops', 'Crop growth', 'Crop rotation', 'Crops', 'Data acquisition', 'Efficiency', 'Estimates', 'Fluxes', 'France', 'Gas exchange', 'Growth models', 'Moisture content', 'Performance evaluation', 'Physics', 'Productivity', 'Remote sensing', 'Retention capacity', 'Root-mean-square errors', 'Sensitivity analysis', 'Simulation', 'Soil properties', 'Soil water', 'Soils', 'Sunflowers', 'Water budget', 'Water demand', 'Water resources', 'Water stress', 'Wheat', 'Winter', 'Yield', 'carbon budget', 'crop modeling', 'remote sensing', 'soil properties', 'water budget']",no,no,FR,yes,yes,data,Andreas
8,392,"['Sidemo-Holm, William', 'Smith, Henrik G', 'Brady, Mark V']",Improving agricultural pollution abatement through result-based payment schemes,2018,Land Use Policy,https://doi.org/10.1016/j.landusepol.2018.05.017,"Action-based payments that compensate farmers for adopting land-management measures to preserve and enhance the environment have been criticized for being ineffective. The root of the problem is that farmers are not paid for achieving a desired environmental benefit, but compensated for their costs of management. There is growing interest in formulating result-based economic incentives. By paying for an environmental benefit and allowing flexibility in how to achieve it, farmers are given an incentive to exploit their comparative advantages for achieving a desired environmental benefit cost-effectively. However, the feasibility and relative effectiveness of result-based payments for reducing agricultural pollution is contentious. In this study, we designed and evaluated a result-based payment scheme for nonpoint-source pollution abatement from arable land. In a case study in southern Sweden, the cost-effectiveness of the new scheme was compared with that of an existing action-based scheme for vegetated buffer strips to prevent the pollutant, particulate phosphorus, from reaching water resources. The results suggest that result-based payment schemes based on modeled outcomes of pollution abatement are feasible and will considerably improve cost-effectiveness compared to action-based schemes, by relocating buffer strips to where they are more effective and not simply where they have the lowest costs for farmers.","['Agri-environmental scheme', 'Buffer strip', 'Cost-effective', 'Nonpoint source pollution', 'Nutrient runoff', 'Performance based policy']",no,no,SE,yes,yes,data,Andreas
9,183,"['Goga, Tomáš', 'Feranec, Ján', 'Bucha, Tomáš', 'Rusnák, Miloš', 'Sackov, Ivan', 'Barka, Ivan', 'Kopecká, Monika', 'Papco, Juraj', 'Otahel, Ján', 'Szatmári, Daniel', 'Pazúr, Róbert', 'Sedliak, Maroš', 'Pajtík, Jozef', 'Vladovic, Jozef']",A Review of the Application of Remote Sensing Data for Abandoned Agricultural Land Identification with Focus on Central and Eastern Europe,2019,Remote Sensing,http://dx.doi.org/10.3390/rs11232759,"This study aims to analyze and assess studies published from 1992 to 2019 and listed in the Web of Science (WOS) and Current Contents (CC) databases, and to identify agricultural abandonment by application of remote sensing (RS) optical and microwave data. We selected 73 studies by applying structured queries in a field tag form and Boolean operators in the WOS portal and by expert analysis. An expert assessment yielded the topical picture concerning the definitions and criteria for the identification of abandoned agricultural land (AAL). The analysis also showed the absence of similar field research, which serves not only for validation, but also for understanding the process of agricultural abandonment. The benefit of the fusion of optical and radar data, which supports the application of Sentinel-1 and Sentinel-2 data, is also evident. Knowledge attained from the literary sources indicated that there exists, in the world literature, a well-covered problem of abandonment identification or biomass estimation, as well as missing works dealing with the assessment of the natural accretion of biomass in AAL.","['Abandonment', 'Accretion', 'Agricultural land', 'Agricultural production', 'Agriculture', 'Biomass', 'Boolean algebra', 'Common Agricultural Policy', 'Crops', 'Demography', 'Deposition', 'Eastern Europe', 'Farming', 'Land use planning', 'Physics', 'Population', 'Radar data', 'Radiation', 'Reforms', 'Remote sensing', 'Rural areas', 'Socioeconomic factors', 'Wineries & vineyards', 'abandoned agricultural land', 'optical data', 'radar data', 'satellite remote sensing']",no,no,?,yes,yes,data,Max
10,228,"['Bregt, Agnieszka Tarko ; Sytze de Bruin ; Dominique Fasbender ; Wim Devos ; Arnold K']",Users_ Assessment of Orthoimage Photometric Quality for Visual Interpretation of Agricultural Fields,2015,Remote Sensing,https://doi.org/10.3390/rs70404919,"Land cover identification and area quantification are key aspects of implementing the European Common Agriculture Policy. Legitimacy of support provided to farmers is monitored using the Land Parcel Identification System (LPIS), with land cover identification performed by visual image interpretation. While the geometric orthoimage quality required for correct interpretation is well understood, little is known about the photometric quality needed for LPIS applications. This paper analyzes the orthoimage quality characteristics chosen by authors as being most suitable for visual identification of agricultural fields. We designed a survey to assess users_ preferred brightness and contrast ranges for orthoimages used for LPIS purposes. Survey questions also tested the influence of a background color on the preferred orthoimage brightness and contrast, the preferred orthoimage format and color composite, assessments of orthoimages with shadowed areas, appreciation of image enhancements and, finally, consistency of individuals_ preferred brightness and contrast settings across multiple sample images. We find that image appreciation is stable at the individual level, but preferences vary across respondents. We therefore recommend that LPIS operators be enabled to personalize photometric settings, such as brightness and contrast values, and to choose the displayed band combination from at least four spectral bands.",['orthoimage quality assessment ; photometric qualit'],yes,?,?,yes,yes,data,Max
