,authors,title,year,Journal,doi/url,abstract,keywords,inclusion: IACS,inclusion: plot-level data,country,is the paper in english,exclusion yes/no,exclusion: reason,responsible
0,"['Schoof, Nicolas', 'Luick, Rainer', 'Jürgens, Karin', 'Jones, Gwyn']",Dairies in Germany: Key Factors for Grassland Conservation?,2020,Sustainability,http://dx.doi.org/10.3390/su12104139,"Germany is the largest milk producer of the 28 EU Member States (statistically still including Great Britain) and dairying is the most important single sector in German agriculture. Dairies are of central importance in the value chain, but very little is known about their objectives and perspectives in relation to grassland management, feedstuffs deriving from grassland and towards resource conservation issues. This study gives an insight on the way German dairies think about and act in such topics by using a standardized survey method. The survey revealed little to no linkage between the size of dairies and their interest in conservation issues on grassland and very little consideration of extensive grasslands. Dairies are divided over questions of governance for a more sustainable milk market and on the nature of their relationships with farmers. There is evidence that the German dairy industry is willing to contribute to a more sustainable and more robust milk market, but the enterprises mostly regard other market actors as more important. According to this survey, consumers will tend to opt for more sustainable milk products in future and there are possibilities to raise the willingness to pay.","['Agricultural management', 'Agricultural production', 'Agriculture', 'Conservation', 'Consumers', 'Dairies', 'Dairy cattle', 'Dairy farms', 'Dairy industry', 'Diaries', 'Environmental Studies', 'Feeds', 'Germany', 'Grassland management', 'Grasslands', 'Hypotheses', 'Milk', 'Milk production', 'Milk products', 'Prices', 'Product lines', 'Questionnaires', 'Resource conservation', 'Resource management', 'Subsidies', 'Surveys', 'Sustainability', 'climate protection', 'dairy farmer', 'dairy goods', 'dairy industry', 'food system', 'grassland', 'grassland conservation', 'survey']",no,no,DE,yes,yes,dataset,Franziska
1,"['Latruffe  Laurent, Laure ; Piet']",Does land fragmentation affect farm performance? A case study from Brittany,2013,,http://agris.fao.org/?query=ARN:FR2016211542,"Agricultural land fragmentation is widespread and may affect farmers_ decisions and impact farm performance, either negatively or positively. We investigated this impact for the western region of Brittany, France, in 2007. To do so, we regressed a set of performance indicators on a set of fragmentation descriptors. The performance indicators (production costs, yields, revenue, profitability, technical and scale efficiency) were calculated at the farm level using Farm Accountancy Data Network (FADN) data, while the fragmentation descriptors were calculated at the municipality level using data from the cartographic field pattern registry (RPG). The various fragmentation descriptors enabled us to account for not only the traditional number and average size of plots, but also their geographical scattering. We found that farms experienced higher costs of production, lower crop yields and lower profitability where land fragmentation (LF) was more pronounced. Total technical efficiency was not found to be significantly related to any of the municipality LF descriptors used, while scale efficiency was lower where the average distance to the nearest neighbouring plot was greater. Pure technical efficiency was found to be negatively related to the average number of plots in the municipality, with the unexpected result that it was also positively related to the average distance to the nearest neighbouring plot. By simulating the impact of hypothetical consolidation programmes on average pre-tax profits and wheat yield, we also showed that the marginal benefits of reducing fragmentation may differ with respect to the improved LF dimension and the performance indicator considered. Our analysis therefore shows that the measures of land fragmentation usually used in the literature do not reveal the full set of significant relationships with farm performance and that, in particular, measures accounting for distance should be considered more systematically.","['D24', 'Farm Management', 'France.', 'Land Economics/Use', 'Q12', 'Q15', 'agricultural land fragmentation', 'cartographic field pattern registry', 'farm performance']",yes,yes,FR,yes,yes,duplicate,Franziska
2,"['Falkner, Katharina', 'Mitter, Hermine', 'Moltchanova, Elena', 'Schmid, Erwin']",A zero-inflated Poisson mixture model to analyse spread and abundance of the Western Corn Rootworm in Austria,2019,Agricultural Systems,https://doi.org/10.1016/j.agsy.2019.04.010,"The Western Corn Rootworm (WCR, Diabrotica virgifera virgifera) has become one of the main maize pests in Europe. Our objective was to develop a model for mapping spread and abundance of WCR in Austria as a function of the natural spread, climatic conditions and the maize share in crop rotations. Records of a total of 5,338 WCR monitoring traps spread over Austria are available for the period 2002–2015, with 2,520 (47.2%) showing zero counts. We developed a spatial zero-inflated Poisson mixture (ZIP) model to relate WCR counts to climatic conditions and maize shares and account for zero-inflation, and spatial correlation in the count data. The model was validated by a 40-fold cross validation procedure and applied to Austrian cropland on a spatial resolution of 1 km. Results show that increased probabilities of WCR occurrence and abundance are associated with higher maize shares in crop rotations combined with a positive influence of higher winter temperatures and summer precipitation. The developed model provides a scientifically sound basis for analysing impacts of future climate change scenarios and crop rotational maize restrictions on the spread and abundance of WCR. It supports the development of WCR control measures.","['Abundance model', 'Climate change', 'Pest modelling', 'Western Corn Rootworm', 'Zero-inflated Poisson mixture model']",yes,yes,AT,yes,no,,Franziska
3,"['Schmidt, J', 'Schönhart, M', 'Biberacher, M', 'Guggenberger, T', 'Hausl, S', 'Kalt, G', 'Leduc, S', 'Schardinger, I', 'Schmid, E']","Regional energy autarky: Potentials, costs and consequences for an Austrian region",2012,Energy Policy,https://doi.org/10.1016/j.enpol.2012.04.059,"Local actors at community level often thrive for energy autarky to decrease the dependence on imported energy resources. We assess the potentials and trade-offs between benefits and costs of increasing levels of energy autarky for a small rural region of around 21,000 inhabitants in Austria. We use a novel modeling approach which couples a regional energy system model with a regional land use optimization model. We have collected and processed data on the spatial distribution of energy demand and potentials of biomass, photovoltaics and solar thermal resources. The impacts of increasing biomass production on the agricultural sector are assessed with a land-use optimization model that allows deriving regional biomass supply curves. An energy system model is subsequently applied to find the least cost solution for supplying the region with energy resources. Model results indicate that fossil fuel use for heating can be replaced at low costs by increasing forestry and agricultural biomass production. However, autarky in the electricity and the heating sector would significantly increase biomass production and require a full use of the potentials of photovoltaics on roof tops. Attaining energy autarky implies high costs to consumers and a decline in the local production of food and feed.","['BeWhere', 'Energy autarky', 'Regional energy modeling']",?,?,AT,yes,no,,Franziska
4,"['Carrié, Romain', 'Lopes, Maïlys', 'Ouin, Annie', 'Andrieu, Emilie']",Bee diversity in crop fields is influenced by remotely-sensed nesting resources in surrounding permanent grasslands,2018,Ecological Indicators,https://doi.org/10.1016/j.ecolind.2018.03.054,"Landscape heterogeneity is an important driver of biodiversity in agroecosystems. However, the functional heterogeneity of agricultural landscapes, taking into account the different resources that habitat patches can provide to species, has rarely been studied. In this study, we explored the effect of landscape-scale nest availability provided by permanent grasslands on wild bee communities. Wild bees were sampled in 43 cereal fields in south-western France differing in the surrounding proportion of permanent grasslands. Using remote sensing tools, we measured two parameters of grassland structure known to locally influence bee nest density (slope and proportion of sparse vegetation). We found that mean slope of surrounding grasslands was the factor that most positively influenced bee richness, abundance and trait distribution in bee communities. We also found that mean slope of surrounding grasslands had a better predictive power of bee community structure than the proportion of permanent grasslands. Ground-nesting species, species with high dispersal capacities and species with a generalist diet were positively affected by the availability of sloped ground in the surrounding permanent grasslands. Only bee species with specialized flower requirements responded positively to the proportion of sparse vegetation in grasslands. Our results suggest that landscape-scale availability of nesting resources provided by grasslands affects bee communities in agricultural landscapes and can help sustain functionally diverse bee assemblages. Using simple remote sensing tools, this study highlights the importance of considering nesting resources in agricultural landscapes to maintain wild bee diversity in farmlands.","['Agricultural landscapes', 'Ground nests', 'Permanent grasslands', 'Wild bees']",yes,yes,FR,yes,no,,Franziska
5,"['Bryndal, Tomasz', 'Kroczak, Rafał']","Reconstruction and characterization of the surface drainage system functioning during extreme rainfall: the analysis with use of the ALS-LIDAR dataÆ’??the case study in two small flysch catchments (Outer Carpathian, Poland)",2019,Environmental Earth Sciences,http://dx.doi.org/10.1007/s12665-019-8211-6,"A surface drainage system (SDS) controls catchment hydrology and acts as an indicator of geomorphologic processes. In this study, a field-based and GIS-integrated approach enabling reconstruction of a surface drainage system, which operates during heavy rainfall in small flysch catchments, has been proposed. The reconstruction is based on the ALS-LIDAR data. The reconstruction of the SDS gave the opportunity for analysis of the changes between the river system and the SDS operating during heavy rainfalls. Results have revealed that the SDS operating during heavy rainfalls is several times better developed than the river system. The density has increased from c.a. 1.5 to 13.7 km&middot;km&minus;&thinsp;2. Moreover, the structure of the SDS has changed, what was confirmed by the parameters of the Hortonian type of the analyses. The most significant changes were related to the first- and second-order streams. These streams were, the most frequently, the man-origin incisions and natural-origin incisions/concavities on the hillslopes conditioned by micro-relief. The man-origin sub-system reached up to 35% of the SDS functioning during heavy rainfalls, whereas the sub-system composed of incisions/concavities conditioned by micro-relief reached up to 24% of this SDS. Smaller lateral valleys included to the SDS during heavy rainfalls constitute up to 37% of the SDS. The permanent streams constitute the remaining part of the SDS. Changes in the SDS have the influence on the drainage pattern, hydrological response of a catchment, and intensity of geomorphological processes; therefore, the changes in the SDS and their consequences have been discussed.","['Case studies', 'Catchment area', 'Catchment hydrology', 'Catchments', 'Conditioning', 'Creeks & streams', 'Drainage control', 'Drainage systems', 'Earth Sciences--Geology', 'Flysch', 'GIS', 'Geomorphological changes', 'Geomorphology', 'Heavy rainfall', 'Hydrology', 'LIDAR', 'Lidar', 'Mountain terrains', 'Rainfall', 'Reconstruction', 'Rivers', 'Streams', 'Surface drainage', 'Surface drainage system', 'The Carpathians', 'Weather extremes']",no,no,?,yes,yes,dataset,Franziska
6,"['Bertrand, Colette', 'Burel, Françoise', 'Baudry, Jacques']",Spatial and temporal heterogeneity of the crop mosaic influences carabid beetles in agricultural landscapes,2016,Landscape Ecology,http://dx.doi.org/10.1007/s10980-015-0259-4,"Context              Landscape spatio-temporal heterogeneity is regarded as an important driver of biodiversity. In agricultural landscapes, the composition and configuration of cultivated fields and their multi-year dynamics should be considered. But the habitat-matrix paradigm in landscape ecology has resulted in little consideration of cropped areas.              Objectives              The main objective of our study was to determine the influences of spatial and multi-year temporal heterogeneity of the crop mosaic on carabid beetle assemblages of agricultural landscapes.              Methods              Carabids were sampled in 40 cereal fields in western France, and their species richness, total abundance and abundance of species groups with different dispersal abilities were measured. For each sampling site, we computed different metrics that characterized crop mosaic spatial and temporal heterogeneity. We quantified relationships between carabid assemblages and heterogeneity metrics and tested their significance.              Results              Total carabid abundance increased with increase in temporal heterogeneity of the crop mosaic. However, all species were not influenced in the same way by spatial and temporal heterogeneity metrics. Some species with high dispersal power such as Trechus quadristriatus were more abundant in landscapes with high spatial heterogeneity, whereas the abundance of less mobile species such as Poecilus cupreus were only positively influenced by temporal crop dynamics.              Conclusions              Our results suggest that both the spatial and temporal heterogeneity of the crop mosaic affects farmland biodiversity, at least for species that use crops during their life cycle or disperse through fields. We highlight the importance of taking this heterogeneity into account in further ecological studies on biodiversity in agricultural landscapes.","['Agroecology', 'Animal populations', 'Biodiversity', 'Crops', 'Dispersal', 'Dispersal abilities', 'Environmental Studies', 'Ground beetles', 'Insects', 'Landscape agronomy', 'Landscape ecology', 'Landscape heterogeneity']",yes,yes,FR,yes,no,,Franziska
7,NA,Does land fragmentation affect farm performance? A french Breton case study,0,,http://agris.fao.org/?query=ARN:FR2014006352,"Agricultural land fragmentation is widespread around the world and may affect farmers_ decisions and therefore have an impact on the performance of farms, whether in a negative or in a positive way. In this paper we test whether the relationship is positive or negative for the French western region of Brittany in 2007. The relationship between land fragmentation and farm performance is investigated with econometric regressions applied to several performance indicators (production costs, yields, financial results and technical efficiency) calculated with Farm Accountancy Data Network (FADN) farm-level data, and several fragmentation descriptors calculated at the municipality level using data from the cartographic field pattern registry (RPG). The various fragmentation descriptors enable to account not only for the traditional number and mean size of plots, but also for their scattering in the geographical space. Our analysis highlights that the measures of land fragmentation usually used in the literature reveal less significant relationships with farm performance than more complex measures accounting for distance. Our results indicate that farms experience higher cost of production, lower crop yields and lower financial results where land fragmentation is more pronounced, and that technical efficiency is only loosely related to land fragmentation.",['exploitation agricole ; performance ; bretagne ; m'],yes,yes,FR,yes,yes,duplicate,Franziska
8,"['Vajsová, Blanka', 'Fasbender, Dominique', 'Wirnhardt, Csaba', 'Lemajic, Slavko', 'Devos, Wim']",Assessing Spatial Limits of Sentinel-2 Data on Arable Crops in the Context of Checks by Monitoring,2020,Remote Sensing,http://dx.doi.org/10.3390/rs12142195,"The availability of large amounts of Sentinel-2 data has been a trigger for its increasing exploitation in various types of applications. It is, therefore, of importance to understand the limits above which these data still guarantee a meaningful outcome. This paper proposes a new method to quantify and specify restrictions of the Sentinel-2 imagery in the context of checks by monitoring, a newly introduced control approach within the European Common Agriculture Policy framework. The method consists of a comparison of normalized difference vegetation index (NDVI) time series constructed from data of different spatial resolution to estimate the performance and limits of the coarser one. Using similarity assessment of Sentinel-2 (10 m pixel size) and PlanetScope (3 m pixel size) NDVI time series, it was estimated that for 10% out of 867 fields less than 0.5 ha in size, Sentinel-2 data did not provide reliable evidence of the activity or state of the agriculture field over a given timeframe. Statistical analysis revealed that the number of clean or full pixels and the proportion of pixels lost after an application of a 5-m (1/2 pixel) negative buffer are the geospatial parameters of the field that have the highest influence on the ability of the Sentinel-2 data to qualify the field’s state in time. We specified the following limiting criteria: at least 8 full pixels inside a border and less than 60% of pixels lost. It was concluded that compliance with the criteria still assures a high level of extracted information reliability. Our research proved the promising potential, which was higher than anticipated, of Sentinel-2 data for the continuous state assessment of small fields. The method could be applied to other sensors and indicators.","['Accuracy', 'Agricultural land', 'Agricultural policy', 'Agriculture', 'Arable land', 'CAP', 'CbM', 'Context', 'Crops', 'Exploitation', 'Farmers', 'Imagery', 'Monitoring', 'NDVI time series', 'Netherlands', 'Physics', 'Pixels', 'PlanetScope', 'Quality', 'Remote sensing', 'Satellites', 'Sentinel-2', 'Spatial data', 'Spatial discrimination', 'Spatial resolution', 'Statistical analysis', 'Time series', 'Vegetation index', 'Wheat', 'checks by monitoring', 'fields', 'similarity', 'small agriculture parcels', 'spatial limits']",?,?,other,yes,yes,country,Franziska
9,"['Hannus  Thomas J ; Sauer, Johannes, Veronika ; Venus', 'Hannus, Veronika']",Acceptance of sustainability standards by farmers - empirical evidence from Germany,2020,Journal of environmental management,https://dx.doi.org/10.1016/j.jenvman.2020.110617,"We use a discrete choice experiment to investigate the willingness-to-accept a sustainability standard by German farmers. We also evaluate how attributes in standard design increase acceptance. The estimation of a latent class logit model results in two groups of farmers differentiated with respect to attitude, risk perception, age, education and previous participation in agri-environmental schemes (AES). However, all respondents prefer to use the EU's Integrated Administration and Control System based data and a standard linked to AES. These findings suggest valuable insights for the design or revision of sustainability standards as part of the implementation of the European CAP in line with the European Union's CAP proposal for 2021-2027.","['Attitude', 'European Union', 'Farmers', 'Germany', 'Hu', 'Humans', 'education', 'environmental management', 'logit analysis', 'risk perception']",yes,no,DE,yes,yes,plot-level,Franziska
