Authors;Title;Year;Indicator Name (text);Indicandum (text);spatial level of analysis/agrregation (of indicator);comment
['Palisson, Aurore', 'Courcoul, Aurélie', 'Durand, Benoit'];Analysis of the Spatial Organization of Pastures as a Contact Network, Implications for Potential Disease Spread and Biosecurity in Livestock, France, 2010;2017;pasture network size (number of nodes/pastures per network);structural risk of (pasture/premises) network to the spread of an infectious desease;network of pastures;Network of interconnected parcels (with buffer areas of varying size)
['Palisson, Aurore', 'Courcoul, Aurélie', 'Durand, Benoit'];Analysis of the Spatial Organization of Pastures as a Contact Network, Implications for Potential Disease Spread and Biosecurity in Livestock, France, 2010;2017;number of links in a network of pastures;structural risk of (pasture/premises) network to the spread of an infectious desease;network of pastures;Network of interconnected parcels (with buffer areas of varying size)
['Palisson, Aurore', 'Courcoul, Aurélie', 'Durand, Benoit'];Analysis of the Spatial Organization of Pastures as a Contact Network, Implications for Potential Disease Spread and Biosecurity in Livestock, France, 2010;2017;size of largest connected component in a network of pastures;structural risk of (pasture/premises) network to the spread of an infectious desease;network of pastures;Network of interconnected parcels (with buffer areas of varying size)
['Palisson, Aurore', 'Courcoul, Aurélie', 'Durand, Benoit'];Analysis of the Spatial Organization of Pastures as a Contact Network, Implications for Potential Disease Spread and Biosecurity in Livestock, France, 2010;2017;pasture network density (the number of links among all the possible links);structural risk of (pasture/premises) network to the spread of an infectious desease;network of pastures;Network of interconnected parcels (with buffer areas of varying size)
['Palisson, Aurore', 'Courcoul, Aurélie', 'Durand, Benoit'];Analysis of the Spatial Organization of Pastures as a Contact Network, Implications for Potential Disease Spread and Biosecurity in Livestock, France, 2010;2017;clustering coefficient of pasture networks (proportion of two connected nodes linked to the same third node);structural risk of (pasture/premises) network to the spread of an infectious desease;network of pastures;Network of interconnected parcels (with buffer areas of varying size)
['Palisson, Aurore', 'Courcoul, Aurélie', 'Durand, Benoit'];Analysis of the Spatial Organization of Pastures as a Contact Network, Implications for Potential Disease Spread and Biosecurity in Livestock, France, 2010;2017;average path length in a network of pastures;structural risk of (pasture/premises) network to the spread of an infectious desease;network of pastures;Network of interconnected parcels (with buffer areas of varying size)
['Palisson, Aurore', 'Courcoul, Aurélie', 'Durand, Benoit'];Analysis of the Spatial Organization of Pastures as a Contact Network, Implications for Potential Disease Spread and Biosecurity in Livestock, France, 2010;2017;pasture network assortativity (the correlation between the degress of linked nodes);structural risk of (pasture/premises) network to the spread of an infectious desease;network of pastures;Network of interconnected parcels (with buffer areas of varying size)
['Palisson, Aurore', 'Courcoul, Aurélie', 'Durand, Benoit'];Analysis of the Spatial Organization of Pastures as a Contact Network, Implications for Potential Disease Spread and Biosecurity in Livestock, France, 2010;2017;pasture network degree (number of nodes connected to the node);structural risk of (pasture/premises) network to the spread of an infectious desease;network of pastures;Network of interconnected parcels (with buffer areas of varying size)
['Palisson, Aurore', 'Courcoul, Aurélie', 'Durand, Benoit'];Analysis of the Spatial Organization of Pastures as a Contact Network, Implications for Potential Disease Spread and Biosecurity in Livestock, France, 2010;2017;pasture network betweenness centrality (frequency with which a node is on the shortest path between the different pairs of nodes);structural risk of (pasture/premises) network to the spread of an infectious desease;network of pastures;Network of interconnected parcels (with buffer areas of varying size)
['Vannier, Clémence', 'Lasseur, Rémy', 'Crouzat, Emilie', 'Byczek, Coline', 'Lafond, Valentine', 'Cordonnier, Thomas', 'Longaretti, Pierre-Yves', 'Lavorel, Sandra'];Mapping ecosystem services bundles in a heterogeneous mountain region;2019;landscape type (from LULC map);list of 9 ecosystem services (fauna, agricultural production, fodder production, wood production, recreation, carbon stock, water infiltration, water quality and pollination);grid cell;
