"","word","freq"
"land","land",92
"agricultural","agricultural",87
"landscape","landscape",62
"use","use",57
"crop","crop",53
"spatial","spatial",50
"study","study",50
"management","management",46
"results","results",46
"data","data",46
"areas","areas",43
"model","model",42
"water","water",41
"soil","soil",38
"different","different",36
"flower","flower",34
"cover","cover",33
"change","change",33
"high","high",33
"can","can",32
"area","area",32
"landscapes","landscapes",30
"using","using",29
"species","species",29
"crops","crops",28
"production","production",27
"changes","changes",26
"information","information",26
"grassland","grassland",24
"used","used",24
"services","services",24
"systems","systems",22
"ecosystem","ecosystem",22
"fields","fields",22
"emissions","emissions",22
"grasslands","grasslands",21
"based","based",21
"local","local",21
"temporal","temporal",21
"climate","climate",19
"field","field",19
"measures","measures",19
"approach","approach",19
"wildflower","wildflower",19
"within","within",19
"quality","quality",18
"potential","potential",18
"environmental","environmental",17
"show","show",17
"large","large",17
"scale","scale",17
"conditions","conditions",17
"however","however",17
"one","one",17
"czech","czech",17
"landuse","landuse",17
"strips","strips",17
"winter","winter",16
"farming","farming",16
"important","important",16
"variables","variables",16
"farmers","farmers",16
"control","control",16
"yield","yield",16
"diversity","diversity",16
"regions","regions",15
"classification","classification",15
"effects","effects",15
"pollination","pollination",15
"nitrogen","nitrogen",15
"framework","framework",14
"due","due",14
"may","may",14
"two","two",14
"policy","policy",14
"processes","processes",14
"lulc","lulc",14
"resolution","resolution",14
"time","time",14
"common","common",14
"effect","effect",14
"pastures","pastures",14
"richness","richness",14
"und","und",14
"food","food",14
"analysis","analysis",13
"france","france",13
"river","river",13
"patterns","patterns",13
"related","related",13
"resources","resources",13
"sites","sites",13
"biodiversity","biodiversity",13
"complexity","complexity",13
"scenarios","scenarios",13
"factors","factors",13
"abundance","abundance",13
"method","method",13
"specific","specific",12
"variability","variability",12
"assessment","assessment",12
"region","region",12
"agriculture","agriculture",12
"number","number",12
"biological","biological",12
"republic","republic",12
"plants","plants",12
"natural","natural",12
"new","new",12
"well","well",12
"bees","bees",12
"plantings","plantings",12
"bee","bee",12
"runoff","runoff",12
"available","available",12
"rotations","rotations",12
"intensity","intensity",12
"associated","associated",11
"images","images",11
"increase","increase",11
"vegetation","vegetation",11
"irrigation","irrigation",11
"provide","provide",11
"increasing","increasing",11
"types","types",11
"indicators","indicators",11
"less","less",11
"models","models",11
"three","three",11
"level","level",11
"single","single",11
"heterogeneity","heterogeneity",11
"positive","positive",11
"many","many",11
"der","der",11
"found","found",11
"permanent","permanent",11
"size","size",11
"nutrient","nutrient",11
