"","word","freq"
"land","land",658
"agricultural","agricultural",614
"data","data",546
"crop","crop",411
"use","use",383
"landscape","landscape",375
"soil","soil",334
"results","results",320
"study","study",285
"species","species",276
"spatial","spatial",266
"model","model",259
"management","management",258
"areas","areas",255
"area","area",244
"used","used",243
"different","different",239
"can","can",225
"using","using",209
"water","water",196
"production","production",193
"high","high",192
"landscapes","landscapes",191
"based","based",189
"fields","fields",185
"information","information",182
"farm","farm",175
"field","field",174
"however","however",171
"crops","crops",171
"environmental","environmental",170
"cover","cover",170
"potential","potential",169
"farming","farming",163
"farmers","farmers",159
"effects","effects",151
"approach","approach",150
"system","system",147
"systems","systems",145
"diversity","diversity",144
"measures","measures",143
"scale","scale",143
"analysis","analysis",142
"changes","changes",142
"grassland","grassland",138
"organic","organic",132
"farms","farms",131
"local","local",131
"level","level",129
"policy","policy",129
"biodiversity","biodiversity",128
"higher","higher",125
"two","two",122
"change","change",121
"effect","effect",118
"well","well",118
"regional","regional",117
"habitat","habitat",114
"regions","regions",114
"important","important",113
"models","models",112
"method","method",111
"development","development",111
"time","time",111
"within","within",106
"agriculture","agriculture",105
"services","services",105
"control","control",104
"monitoring","monitoring",104
"may","may",102
"climate","climate",101
"one","one",100
"quality","quality",100
"increase","increase",98
"assessment","assessment",97
"three","three",97
"lower","lower",96
"european","european",96
"large","large",96
"compared","compared",96
"classification","classification",96
"vegetation","vegetation",95
"temporal","temporal",95
"conditions","conditions",94
"show","show",94
"arable","arable",94
"practices","practices",94
"impact","impact",93
"increased","increased",93
"indicators","indicators",91
"erosion","erosion",91
"conservation","conservation",90
"total","total",90
"types","types",90
"factors","factors",90
"resolution","resolution",89
"region","region",88
"sentinel","sentinel",88
"plant","plant",88
"increasing","increasing",87
"impacts","impacts",86
"provide","provide",86
"ecosystem","ecosystem",86
"yield","yield",84
"paper","paper",84
"germany","germany",83
"common","common",83
"integrated","integrated",83
"size","size",82
"assess","assess",82
"food","food",82
"studies","studies",82
"support","support",82
"economic","economic",82
"developed","developed",81
"due","due",81
"habitats","habitats",81
"france","france",80
"maize","maize",80
"type","type",80
"research","research",80
"values","values",78
"grasslands","grasslands",77
"including","including",77
"available","available",77
"plants","plants",77
"number","number",76
"related","related",75
"showed","showed",75
"farmland","farmland",75
"years","years",75
"found","found",74
"significant","significant",74
"landuse","landuse",74
"resources","resources",74
"framework","framework",74
"specific","specific",74
"sites","sites",74
"scenarios","scenarios",73
"across","across",73
"patterns","patterns",73
"flower","flower",72
"richness","richness",72
"abundance","abundance",71
"europe","europe",71
"natural","natural",71
"bees","bees",71
"new","new",70
"influence","influence",69
"soils","soils",69
"future","future",68
"main","main",68
"winter","winter",68
"present","present",68
"average","average",67
"composition","composition",66
"images","images",66
"seminatural","seminatural",66
"value","value",65
"therefore","therefore",65
"mapping","mapping",65
"spatially","spatially",65
"overall","overall",65
"map","map",65
"accuracy","accuracy",65
"first","first",64
"cap","cap",64
"risk","risk",64
"characteristics","characteristics",64
"bee","bee",63
"methods","methods",63
"levels","levels",62
"proportion","proportion",62
"structure","structure",62
"many","many",62
"performance","performance",61
"permanent","permanent",61
"remote","remote",61
"sensing","sensing",61
"processes","processes",61
"order","order",61
"year","year",61
"loss","loss",61
"fragmentation","fragmentation",60
"less","less",60
"nitrogen","nitrogen",60
"variables","variables",60
"applied","applied",59
"context","context",59
"emissions","emissions",59
"significantly","significantly",58
"energy","energy",58
"availability","availability",58
"lpis","lpis",58
"importance","importance",57
"period","period",57
"analyses","analyses",57
"case","case",56
"major","major",56
"czech","czech",56
"plots","plots",55
"yields","yields",55
"austria","austria",55
"distribution","distribution",55
"small","small",55
"parameters","parameters",55
"wild","wild",55
"possible","possible",55
"maps","maps",55
"density","density",54
"heterogeneity","heterogeneity",54
"differences","differences",54
"without","without",54
"process","process",54
"satellite","satellite",54
"iacs","iacs",54
"nature","nature",53
"considered","considered",53
"set","set",53
"various","various",53
"intensity","intensity",53
"ecological","ecological",53
"negative","negative",53
"identification","identification",53
"der","der",53
"classes","classes",53
"image","image",53
"modelling","modelling",53
"population","population",52
"parcel","parcel",52
"cropping","cropping",52
"positive","positive",51
"often","often",51
"complex","complex",51
"administration","administration",51
"implementation","implementation",51
"national","national",51
"per","per",51
"selected","selected",51
"surface","surface",50
"identified","identified",50
"knowledge","knowledge",50
"pollination","pollination",50
"especially","especially",50
"current","current",50
"observed","observed",50
