"","word","freq"
"agricultural","agricultural",100
"land","land",81
"landscape","landscape",61
"crop","crop",50
"data","data",46
"using","using",40
"case","case",36
"use","use",35
"soil","soil",35
"spatial","spatial",32
"study","study",31
"analysis","analysis",31
"management","management",28
"austria","austria",25
"france","france",24
"effects","effects",24
"mapping","mapping",24
"germany","germany",23
"approach","approach",23
"sentinel","sentinel",22
"assessment","assessment",21
"water","water",21
"regional","regional",20
"diversity","diversity",20
"czech","czech",20
"model","model",19
"landscapes","landscapes",19
"organic","organic",19
"change","change",18
"production","production",18
"systems","systems",18
"european","european",18
"monitoring","monitoring",17
"potential","potential",17
"grassland","grassland",16
"region","region",16
"modelling","modelling",16
"republic","republic",16
"farming","farming",16
"farm","farm",15
"areas","areas",15
"impact","impact",15
"cover","cover",15
"satellite","satellite",14
"erosion","erosion",14
"remote","remote",14
"conservation","conservation",13
"farmers","farmers",13
"ecosystem","ecosystem",13
"scale","scale",13
"sensing","sensing",13
"spatiotemporal","spatiotemporal",13
"policy","policy",13
"climate","climate",13
"new","new",12
"biodiversity","biodiversity",12
"economic","economic",12
"habitat","habitat",12
"development","development",12
"austrian","austrian",11
"common","common",11
"identification","identification",11
"plant","plant",11
"indicators","indicators",11
"agriculture","agriculture",11
"integrated","integrated",11
"application","application",11
"imagery","imagery",11
"changes","changes",11
"bee","bee",10
"system","system",10
"arable","arable",10
"crops","crops",10
"local","local",10
"services","services",10
"support","support",10
"evaluation","evaluation",10
"classification","classification",10
"series","series",10
"time","time",10
"practices","practices",10
"grasslands","grasslands",9
"assessing","assessing",9
"emissions","emissions",9
"farms","farms",9
"images","images",9
"environmental","environmental",9
"based","based",9
"area","area",9
"regions","regions",9
"intensity","intensity",9
"fragmentation","fragmentation",8
"performance","performance",8
"fields","fields",8
"temporal","temporal",8
"context","context",8
"dynamics","dynamics",8
"parcel","parcel",8
"tool","tool",8
"yield","yield",8
"field","field",8
"quality","quality",8
"modeling","modeling",8
"comparison","comparison",8
"impacts","impacts",8
"vegetation","vegetation",8
"resolution","resolution",8
"high","high",8
"rural","rural",8
"carbon","carbon",8
"factors","factors",7
"permanent","permanent",7
"heterogeneity","heterogeneity",7
"dairy","dairy",7
"agrienvironmental","agrienvironmental",7
"drivers","drivers",7
"integration","integration",7
"bird","bird",7
"farmland","farmland",7
"pollution","pollution",7
"plants","plants",7
"nitrogen","nitrogen",7
"selected","selected",7
"cropland","cropland",7
"sweden","sweden",7
"patterns","patterns",7
"distribution","distribution",7
"communities","communities",7
"towards","towards",7
"measures","measures",7
